№ п/п,date,Unnamed: 2,Unnamed: 3,region,akimat,request_id,direction,subsidy_type,status,normative,amount,district,is_executed,efficiency,efficiency_ratio,amount_log,normative_log,success_rate,avg_efficiency,efficiency_std,application_count,total_subsidy,efficiency_lag1,efficiency_trend,region_avg_efficiency,region_success_rate,eff_vs_region,success_vs_region,year,month,quarter,day_of_week,stability,scale_score,activity,target,predicted_efficiency,historical_score,future_score,final_score,recommended_percent,recommended_allocation
89298.0,2025-12-12 10:01:42,,,г.Шымкент,"ГУ ""Управление сельского хозяйства и ветеринарии города Шымкент""",2000100382745.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) Сельскохозяйственный кооператив,Исполнена,20.0,5698800.0,,1,284939.9857530007,284940.0,15.555766359800737,3.044522437723423,0.7703703703703704,308368.2044425361,3047686.888246581,405,2593038440.0,398039.98009800096,-113099.99434500025,308368.2044425361,0.7703703703703704,-23428.218689535395,0.0,2025,12,4,4,3.2811769603241617e-07,21.676096168306277,6.0063531596017325,61450229.9274885,40643680.76279385,0.004636922983659694,0.9999999999999755,66.78608522995998,21.890464871251464,0.21890464871251464
74936.0,2025-07-01 16:58:41,,,Туркестанская область,"ГУ ""Управление сельского хозяйства Туркестанской области""",1900100331438.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 50 голов,Исполнена,20.0,2830500.0,Тюлькубасский район,1,141524.99292375034,141525.0,14.85596428575326,3.044522437723423,0.49145111793073215,158085.8810958293,435963.8412873295,2281,11466383557.5,47572.99894282225,93951.99398092809,158085.8810958293,0.49145111793073215,-16560.888172078965,0.0,2025,7,3,1,2.2937682103287988e-06,23.16268542268716,7.732807530422021,14251533.287423335,7653386.615581697,0.002303083175350493,0.18830263861397845,12.718227739054953,4.168651547515255,0.04168651547515255
64833.0,2025-04-16 18:42:31,,,Туркестанская область,"ГУ ""Управление сельского хозяйства Туркестанской области""",2000100286690.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) Сельскохозяйственный кооператив,Исполнена,20.0,27899300.0,Сайрамский район,1,1394964.9302517534,1394965.0,17.144112192714303,3.044522437723423,0.49145111793073215,158085.8810958293,435963.8412873295,2281,11466383557.5,12599974.37000128,-11205009.439749528,158085.8810958293,0.49145111793073215,1236879.049155924,0.0,2025,4,2,2,2.2937682103287988e-06,23.16268542268716,7.732807530422021,1259974.937001253,6187433.4555289885,0.022700727559320684,0.1522341420246323,12.355296408262255,4.049693601110124,0.04049693601110124
58928.0,2025-01-29 08:29:25,,,Акмолинская область,"ГУ ""Управление сельского хозяйства и земельных отношении Акмолинской области""",5601000258228.0,Субсидирование в птицеводстве,Заявка на получение субсидий на удешевление стоимости производства мяса птицы (мясо курицы) фактическое производство от 15 000 тонн,Исполнена,80.0,467053440.0,Буландынский район,1,5838167.927022901,5838168.0,19.96195424377553,4.394449154672439,0.10695742471443406,257498.42531208822,786180.1475433769,963,16592637700.0,90274.99819450005,5747892.9288284015,257498.42531208822,0.10695742471443406,5580669.5017108135,0.0,2025,1,1,2,1.2719731007244161e-06,23.532224921940426,6.871091294610546,51.499999989699994,86689.05252512106,0.09500644557172837,0.002130656668861565,9.593205928758596,3.1443636299851017,0.031443636299851016
89331.0,2025-12-12 11:08:36,,,г.Шымкент,"ГУ ""Управление сельского хозяйства и ветеринарии города Шымкент""",2000100382877.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) Сельскохозяйственный кооператив,Исполнена,20.0,5688000.0,,1,284399.9857800007,284400.0,15.553869426273918,3.044522437723423,0.7703703703703704,308368.2044425361,3047686.888246581,405,2593038440.0,260549.98697250063,23849.99880750006,308368.2044425361,0.7703703703703704,-23968.218662535422,0.0,2025,12,4,4,3.2811769603241617e-07,21.676096168306277,6.0063531596017325,255275.98723620063,5147880.478544025,0.0046281353847579965,0.12665684936169438,8.860895662903951,2.9043344069163917,0.029043344069163916
59166.0,2025-01-31 12:21:56,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100260748.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,212430240.0,Кызылжарский район,1,4720671.89509618,4720672.0,19.174124214786783,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,611434.979618834,4109236.915477346,151805.97986319562,0.7084942084942085,4568865.915232984,0.0,2025,1,1,4,2.6043659003294378e-06,23.070468997003672,7.349230824613334,267482.9940559335,214200.22629519936,0.07682106150910599,0.005267957683352527,7.992073697299928,2.619560765042639,0.02619560765042639
89317.0,2025-12-12 10:40:32,,,г.Шымкент,"ГУ ""Управление сельского хозяйства и ветеринарии города Шымкент""",2000100382837.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) Сельскохозяйственный кооператив,Исполнена,20.0,5685600.0,,1,284279.9857860007,284280.0,15.55344739637774,3.044522437723423,0.7703703703703704,308368.2044425361,3047686.888246581,405,2593038440.0,270269.98648650065,14009.999299500021,308368.2044425361,0.7703703703703704,-24088.218656535435,0.0,2025,12,4,4,3.2811769603241617e-07,21.676096168306277,6.0063531596017325,255263.98723680063,4535489.701430275,0.004626182585002064,0.11158950938278256,7.861362978509093,2.5767177328730693,0.025767177328730694
59088.0,2025-01-30 14:54:39,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1800100260476.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 400 голов,Исполнена,30.0,18343050.0,Район Магжана Жумабаева,1,611434.979618834,611435.0,16.7247613686448,3.4339872044851463,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,15.639999996872,611419.3396188371,151805.97986319562,0.7084942084942085,459628.99975563836,0.0,2025,1,1,3,2.6043659003294378e-06,23.070468997003672,7.349230824613334,4720671.89509618,3392926.610159954,0.009950084452105122,0.08347774286555315,6.526515649327641,2.139195029344068,0.02139195029344068
58817.0,2025-01-27 16:47:57,,,Акмолинская область,"ГУ ""Управление сельского хозяйства и земельных отношении Акмолинской области""",5901000259549.0,Субсидирование в птицеводстве,Заявка на получение субсидий на удешевление стоимости производства мяса птицы (мясо курицы) фактическое производство от 500 тонн,Исполнена,50.0,4513750.0,Зерендинский район,1,90274.99819450005,90275.0,15.322639073119058,3.9318256327243257,0.10695742471443406,257498.42531208822,786180.1475433769,963,16592637700.0,172306.99138465044,-82031.99319015039,257498.42531208822,0.10695742471443406,-167223.42711758817,0.0,2025,1,1,0,1.2719731007244161e-06,23.532224921940426,6.871091294610546,5838167.927022901,3865355.875533553,0.0014690749903264369,0.09510145214301895,6.453703950954259,2.115329550180698,0.02115329550180698
83298.0,2025-09-30 09:07:26,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100362280.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,150795900.0,Кызылжарский район,1,3351019.925532891,3351020.0,18.83143783147109,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,10105.999494700025,3340913.9260381907,151805.97986319562,0.7084942084942085,3199213.9456696953,0.0,2025,9,3,1,2.6043659003294378e-06,23.070468997003672,7.349230824613334,1105390.9754357561,527786.298874365,0.054532260129031916,0.012983468995379315,6.286352838878908,2.0604769019466165,0.020604769019466163
66023.0,2025-04-23 16:25:00,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100292136.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,160910235.0,Кызылжарский район,1,3575782.9205381577,3575783.0,18.896357227092636,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,1162562.9741652673,2413219.9463728904,151805.97986319562,0.7084942084942085,3423976.940674962,0.0,2025,4,2,2,2.6043659003294378e-06,23.070468997003672,7.349230824613334,56744.99810850006,218280.44765446056,0.058189902993489154,0.00536834796470026,6.145170093283867,2.0142014551640486,0.020142014551640487
59805.0,2025-02-12 08:46:01,,,Акмолинская область,"ГУ ""Управление сельского хозяйства и земельных отношении Акмолинской области""",5601000262240.0,Субсидирование в птицеводстве,Заявка на получение субсидий на удешевление стоимости производства мяса птицы (мясо курицы) фактическое производство от 15 000 тонн,Исполнена,80.0,277848320.0,Буландынский район,1,3473103.9565862007,3473104.0,19.442585914843082,4.394449154672439,0.10695742471443406,257498.42531208822,786180.1475433769,963,16592637700.0,4.999999999966667,3473098.9565862007,257498.42531208822,0.10695742471443406,3215605.5312741124,0.0,2025,2,1,2,1.2719731007244161e-06,23.532224921940426,6.871091294610546,69999.99883333336,248705.02384583332,0.056518974112069256,0.0061169180776439605,6.02858280939708,1.9759876590780723,0.019759876590780722
60726.0,2025-02-27 15:59:01,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100267913.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,159765210.0,Кызылжарский район,1,3550337.921103602,3550338.0,18.889215864216403,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,163902.99453656684,3386434.926567035,151805.97986319562,0.7084942084942085,3398531.941240406,0.0,2025,2,1,3,2.6043659003294378e-06,23.070468997003672,7.349230824613334,10682.999465850025,167487.4014315323,0.05777582806707282,0.004118629444097379,6.02108759551332,1.9735309539776007,0.019735309539776008
80864.0,2025-08-28 09:22:56,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100353213.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,150560100.0,Кызылжарский район,1,3345779.925649335,3345780.0,18.829872904630022,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,10097.999798040004,3335681.9258512952,151805.97986319562,0.7084942084942085,3193973.9457861395,0.0,2025,8,3,3,2.6043659003294378e-06,23.070468997003672,7.349230824613334,78956.99736810008,145047.73120869306,0.054446987870654176,0.0035665209654953556,5.653292085678845,1.8529786763569946,0.018529786763569946
71031.0,2025-06-02 08:26:38,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100314819.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,150326415.0,Кызылжарский район,1,3340586.9257647353,3340587.0,18.82831959443643,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,103484.99482575025,3237101.930938985,151805.97986319562,0.7084942084942085,3188780.9459015396,0.0,2025,6,2,0,2.6043659003294378e-06,23.070468997003672,7.349230824613334,72426.99637865018,125224.29138031877,0.05436248045886875,0.003078782549751486,5.612535523143447,1.8396199041309822,0.018396199041309822
61371.0,2025-03-10 14:25:26,,,Туркестанская область,"ГУ ""Управление сельского хозяйства Туркестанской области""",1900100271071.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 50 голов,Исполнена,20.0,31408760.0,Сайрамский район,1,1570437.9214781038,1570438.0,17.26259742470052,3.044522437723423,0.49145111793073215,158085.8810958293,435963.8412873295,2281,11466383557.5,389999.98050000094,1180437.9409781029,158085.8810958293,0.49145111793073215,1412352.0403822744,0.0,2025,3,1,0,2.2937682103287988e-06,23.16268542268716,7.732807530422021,737129.9631435018,1836161.184609306,0.025556257822427337,0.045174889833150225,5.538700979786258,1.8154191672247804,0.018154191672247803
87793.0,2025-11-28 09:09:53,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100378237.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,144367200.0,Кызылжарский район,1,3208159.9287075573,3208160.0,18.78787061873363,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,1159613.9742308005,2048545.9544767567,151805.97986319562,0.7084942084942085,3056353.9488443616,0.0,2025,11,4,4,2.6043659003294378e-06,23.070468997003672,7.349230824613334,63519.998588444476,139320.1864875689,0.0522074519550159,0.0034255997322195485,5.421140333412868,1.7768863322664605,0.017768863322664606
74842.0,2025-07-01 08:19:57,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100331095.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,142402230.0,Кызылжарский район,1,3164493.929677913,3164494.0,18.774166223954253,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,27529.999388222237,3136963.930289691,151805.97986319562,0.7084942084942085,3012687.9498147173,0.0,2025,7,3,1,2.6043659003294378e-06,23.070468997003672,7.349230824613334,132587.99705360006,143572.08482025136,0.051496860650755906,0.0035302139754912025,5.357384106898577,1.7559889637198678,0.017559889637198678
79151.0,2025-08-06 11:14:42,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100346630.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,141193800.0,Кызылжарский район,1,3137639.9302746686,3137640.0,18.765643979793396,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,30140.998492950075,3107498.9317817185,151805.97986319562,0.7084942084942085,2985833.950411473,0.0,2025,8,3,2,2.6043659003294378e-06,23.070468997003672,7.349230824613334,212477.99527826678,135469.67486665773,0.05105985659990174,0.0033308612582692086,5.300685762992069,1.7374049562687652,0.017374049562687652
65987.0,2025-04-23 14:18:45,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100291973.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,52315335.0,Аккайынский район,1,1162562.9741652673,1162563.0,17.772800117408792,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,25276.999873615,1137285.9742916522,151805.97986319562,0.7084942084942085,1010756.9943020716,0.0,2025,4,2,2,2.6043659003294378e-06,23.070468997003672,7.349230824613334,3575782.9205381577,2032252.1010114357,0.018918773344189666,0.04999953549181348,5.198349859974314,1.7038623330956224,0.017038623330956224
64835.0,2025-04-16 18:48:07,,,Туркестанская область,"ГУ ""Управление сельского хозяйства Туркестанской области""",2000100286703.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) Сельскохозяйственный кооператив,Исполнена,20.0,25199500.0,Сайрамский район,1,1259974.937001253,1259975.0,17.042334750698295,3.044522437723423,0.49145111793073215,158085.8810958293,435963.8412873295,2281,11466383557.5,1394964.9302517534,-134989.9932505004,158085.8810958293,0.49145111793073215,1101889.0559054236,0.0,2025,4,2,2,2.2937682103287988e-06,23.16268542268716,7.732807530422021,448989.9775505011,1926587.6361598927,0.020503990567209265,0.04739975366114712,5.1836286715198865,1.6990371714228707,0.016990371714228708
62509.0,2025-03-31 09:41:49,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100276954.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,138743640.0,Кызылжарский район,1,3083191.931484624,3083192.0,18.748138478909933,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,1073742.976139045,2009448.9553455787,151805.97986319562,0.7084942084942085,2931385.951621428,0.0,2025,3,1,0,2.6043659003294378e-06,23.070468997003672,7.349230824613334,2.99999999998,102231.23573344175,0.050173806232697314,0.002513058506325561,5.158294475378442,1.6907333858548719,0.01690733385854872
87792.0,2025-11-28 09:07:04,,,Северо-Казахстанская область,"КГУ ""Управление сельского хозяйства и земельных отношений акимата Северо-Казахстанской области""",1700100378238.0,Субсидирование в скотоводстве,Заявка на получение субсидий на удешевление стоимости производства молока (коровье) с фуражным поголовьем коров от 600 голов,Исполнена,45.0,52182630.0,Аккайынский район,1,1159613.9742308005,1159614.0,17.770260258019206,3.828641396489095,0.7084942084942085,151805.97986319562,383970.62404745095,1554,10456284236.0,343672.9885442337,815940.9856865668,151805.97986319562,0.7084942084942085,1007807.9943676048,0.0,2025,11,4,4,2.6043659003294378e-06,23.070468997003672,7.349230824613334,3208159.9287075573,1994696.4760319712,0.018870783288854557,0.0490755121543735,5.132289794399495,1.6822098355749344,0.016822098355749344
61425.0,2025-03-11 15:42:33,,,Акмолинская область,"ГУ ""Управление сельского хозяйства и земельных отношении Акмолинской области""",5601000271367.0,Субсидирование в птицеводстве,Заявка на получение субсидий на удешевление стоимости производства мяса птицы (мясо курицы) фактическое производство от 15 000 тонн,Исполнена,80.0,215776880.0,Буландынский район,1,2697210.966284863,2697211.0,19.18975547344597,4.394449154672439,0.10695742471443406,257498.42531208822,786180.1475433769,963,16592637700.0,17741.999112900045,2679468.9671719633,257498.42531208822,0.10695742471443406,2439712.540972775,0.0,2025,3,1,1,1.2719731007244161e-06,23.532224921940426,6.871091294610546,82922.9958538502,182934.16281481835,0.043892609796664143,0.004498683510933638,4.665091963647377,1.5290764745343888,0.015290764745343887
